data_case,variant,sharing,alpha,n_seeds,test_auc_mean,test_auc_std,client_sigma,rounds,final_mb,final_mb_saved,perclient_wmean,perclient_mean,perclient_std,perclient_worst_mean,valsel_pooled_mean,artifact
unfiltered,fedgen_paper_partial_medoid,partial,5.0,3,0.602,0.0222,0.0229,7.7,0.868,0.793,0.5781,0.58,0.0076,0.5518,0.6428,False
unfiltered,fedgen_paper_partial_medoid,partial,10.0,3,0.6104,0.0137,0.022,7.3,0.83,0.758,0.5826,0.5825,0.0069,0.5484,0.6204,False
unfiltered,fedgen_paper_partial_no_proto,partial,0.5,3,0.7625,0.0428,0.0744,20.3,2.103,2.103,0.5156,0.5417,0.0079,0.4305,0.8049,False
unfiltered,fedgen_paper_partial_no_proto,partial,1.0,3,0.7347,0.0181,0.1118,12.0,1.241,1.241,0.5642,0.5672,0.0461,0.4216,0.7414,False
unfiltered,fedgen_paper_partial_no_proto,partial,5.0,3,0.6243,0.0256,0.0218,7.3,0.758,0.758,0.5893,0.5889,0.0027,0.5527,0.6392,False
unfiltered,fedgen_paper_partial_no_proto,partial,10.0,3,0.5959,0.0098,0.019,8.0,0.827,0.827,0.5829,0.5826,0.003,0.5501,0.6163,False
unfiltered,fedgen_partial,partial,0.5,3,0.7862,0.0183,0.0927,12.3,1.395,1.275,0.5268,0.5559,0.0265,0.4086,0.807,False
unfiltered,fedgen_partial,partial,1.0,3,0.7471,0.0075,0.1423,9.3,1.056,0.965,0.5139,0.5367,0.045,0.3255,0.7578,False
unfiltered,fedgen_partial,partial,5.0,3,0.6278,0.0168,0.0176,11.0,1.245,1.137,0.5816,0.5828,0.0062,0.5585,0.6405,False
unfiltered,fedgen_partial,partial,10.0,3,0.5958,0.0104,0.0214,6.3,0.717,0.655,0.5785,0.5777,0.0024,0.5413,0.6248,False
unfiltered,fedgen_partial_medoid,partial,0.5,3,0.792,0.011,0.0614,10.0,1.131,1.034,0.546,0.5644,0.0184,0.4717,0.806,False
unfiltered,fedgen_partial_medoid,partial,1.0,3,0.7492,0.0049,0.1756,10.3,1.169,1.068,0.4449,0.4938,0.0066,0.1518,0.7561,False
